"id_experiment","id_parameter","nr_algorithm_iteration","nr_function_iteration","nr_task","vl_total_execution_time","vl_inter_task_execution_time","vl_intra_task_execution_time_full_func","vl_intra_task_execution_time_device_func","vl_communication_time_1","vl_communication_time_2","vl_additional_time_1","vl_additional_time_2","dt_processing"
"5739","64","15","0","62",NULL,NULL,"0.0671851423829793","0.021756383895874","0.0264564864337444","0.0189722720533609","0","0","2023-12-17 19:29:39.479705"
"5740","64","15","0","158",NULL,NULL,"0.108900551110506","0.0489750061035156","0.0399211458861827","0.0200043991208076","0","0","2023-12-17 19:29:39.045961"
"5741","64","15","0","510",NULL,NULL,"0.0670279948408714","0.0215768318176269","0.0267095059971325","0.018741657026112","0","0","2023-12-17 19:29:39.124273"
"5742","64","15","0","14",NULL,NULL,"0.0690652268975973","0.0218176326751709","0.0283900834619998","0.0188575107604265","0","0","2023-12-17 19:29:40.069459"
"5743","64","15","0","30",NULL,NULL,"0.0687030578553676","0.0213303031921386","0.0284351725131273","0.0189375821501016","0","0","2023-12-17 19:29:40.07809"
"5744","64","15","0","544",NULL,NULL,"0.0736377218589185","0.0216494712829589","0.03159402590245","0.0203942246735095","0","0","2023-12-17 19:29:40.08949"
"5745","64","15","0","255",NULL,NULL,"0.0727471884228288","0.0218007678985595","0.031392762903124","0.0195536576211452","0","0","2023-12-17 19:29:40.096974"
"5746","64","15","0","462",NULL,NULL,"0.0703056028368882","0.0212576007843017","0.0291957670124247","0.0198522350401617","0","0","2023-12-17 19:29:40.203916"
"5747","64","15","0","515",NULL,NULL,"0.0701678204983472","0.0215503997802734","0.0290272515267133","0.0195901691913604","0","0","2023-12-17 19:29:40.335607"
"5748","64","15","0","576",NULL,NULL,"0.0666677681654691","0.0213925437927246","0.0262121874839067","0.0190630368888378","0","0","2023-12-17 19:29:40.44425"
"5749","64","15","0","561",NULL,NULL,"0.07429712793231","0.0212397441864013","0.0325455106794834","0.0205118730664253","0","0","2023-12-17 19:29:43.056827"
"5750","64","15","0","430",NULL,NULL,"0.0738872548569924","0.0216608638763427","0.0318891360075213","0.0203372549731284","0","0","2023-12-17 19:29:42.863394"
"5751","64","15","0","79",NULL,NULL,"0.0708908995818346","0.0213350086212158","0.0313470959663391","0.0182087949942797","0","0","2023-12-17 19:29:42.868682"
"5752","64","15","0","412",NULL,NULL,"0.074477337216027","0.021567455291748","0.0331461879541166","0.0197636939701624","0","0","2023-12-17 19:29:42.864931"
"5753","64","15","0","95",NULL,NULL,"0.0726024231980554","0.0215518722534179","0.0312899709679186","0.0197605799767188","0","0","2023-12-17 19:29:42.861001"
"5754","64","15","0","446",NULL,NULL,"0.0743462484646587","0.0219194564819335","0.032769240962807","0.0196575510199181","0","0","2023-12-17 19:29:42.87196"
"5755","64","15","0","15",NULL,NULL,"0.0727987069189547","0.0218471031188964","0.0307347197085618","0.0202168840914964","0","0","2023-12-17 19:29:43.912998"
