"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"14511","2599","1","1","1","27","18","18","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14512","2599","2","1","2","27","18","18","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14513","2599","1","1","1","27","18","18","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14514","2599","2","1","2","27","18","18","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14515","2599","1","1","1","27","18","18","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14516","2599","2","1","2","27","18","18","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14517","2599","1","1","1","27","18","18","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14518","2599","2","1","2","27","18","18","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14519","2599","1","1","1","27","18","18","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14520","2599","2","1","2","27","18","18","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14521","2599","1","1","1","27","18","18","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14522","2599","2","1","2","27","18","18","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14523","2600","1","1","1","28","18","18","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14524","2600","2","1","2","28","18","18","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14525","2600","1","1","1","28","18","18","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14526","2600","2","1","2","28","18","18","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14527","2600","1","1","1","28","18","18","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
