"id_parameter_type","ds_parameter_type","ds_parameter_attribute","ds_compss_version","ds_dislib_version","ds_schdeuler","nr_cluster","ds_storage","bl_transpose_matrix"
"1","VAR_GRID_SHAPE_MATMUL_1","32MAXCORES_1","TrunkCT","0.6.4","es.bsc.compss.scheduler.orderstrict.fifo.FifoTS",NULL,"GPFS",False
"2","VAR_GRID_SHAPE_MATMUL_2","32MAXCORES_1","TrunkCT","0.6.4","es.bsc.compss.scheduler.lookahead.successors.fifolocality.FifoLocalityTS",NULL,"LOCAL_DISK",False
"5","VAR_GRID_SHAPE_MATMUL_5","32MAXCORES_1","TrunkCT","0.6.4","es.bsc.compss.scheduler.lookahead.successors.fifolocality.FifoLocalityTS",NULL,"GPFS",False
"6","VAR_GRID_SHAPE_MATMUL_6","32MAXCORES_1","TrunkCT","0.6.4","es.bsc.compss.scheduler.orderstrict.fifo.FifoTS",NULL,"LOCAL_DISK",False
