"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"171","1","4","1","2","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"172","1","4","1","4","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"173","1","1","1","1","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"174","1","1","1","3","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"175","1","4","1","2","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"176","1","4","1","4","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"177","1","1","1","1","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"178","1","1","1","3","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"179","1","4","1","2","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"180","1","4","1","4","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"289","2","1","1","1","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"290","2","1","1","3","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"291","2","4","1","2","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"292","2","4","1","4","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"293","2","1","1","1","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"294","2","1","1","3","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"295","2","4","1","2","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"296","2","4","1","4","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"297","2","1","1","1","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"298","2","1","1","3","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"299","2","4","1","2","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"300","2","4","1","4","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"301","2","1","1","1","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"302","2","1","1","3","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"303","2","4","1","2","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"304","2","4","1","4","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"305","2","1","1","1","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"306","2","1","1","3","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"307","2","4","1","2","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
