"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"108","1","4","1","4","3","1","1","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"109","1","1","1","1","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"110","1","1","1","3","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"111","1","4","1","2","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"112","1","4","1","4","4","1","1","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"113","1","1","1","1","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"114","1","1","1","3","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"115","1","4","1","2","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"116","1","4","1","4","4","1","1","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"117","1","1","1","1","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"118","1","1","1","3","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"119","1","4","1","2","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"120","1","4","1","4","4","1","1","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"121","1","1","1","1","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"122","1","1","1","3","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"123","1","4","1","2","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"124","1","4","1","4","4","1","1","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"125","1","1","1","1","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"126","1","1","1","3","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"127","1","4","1","2","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"128","1","4","1","4","4","1","1","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"129","1","1","1","1","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"130","1","1","1","3","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"131","1","4","1","2","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"132","1","4","1","4","4","1","1","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"133","1","1","1","1","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"134","1","1","1","3","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"135","1","4","1","2","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"136","1","4","1","4","4","1","1","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"137","1","1","1","1","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"138","1","1","1","3","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"139","1","4","1","2","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"140","1","4","1","4","4","1","1","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"141","1","1","1","1","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"142","1","1","1","3","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"143","1","4","1","2","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"144","1","4","1","4","4","1","1","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"145","1","1","1","1","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"146","1","1","1","3","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"147","1","4","1","2","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"148","1","4","1","4","5","1","1","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"149","1","1","1","1","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"150","1","1","1","3","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"151","1","4","1","2","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"152","1","4","1","4","5","1","1","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"153","1","1","1","1","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"154","1","1","1","3","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"155","1","4","1","2","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"156","1","4","1","4","5","1","1","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"157","1","1","1","1","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"158","1","1","1","3","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"159","1","4","1","2","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"160","1","4","1","4","5","1","1","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"161","1","1","1","1","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"162","1","1","1","3","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"163","1","4","1","2","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"164","1","4","1","4","5","1","1","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"165","1","1","1","1","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"166","1","1","1","3","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"167","1","4","1","2","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"168","1","4","1","4","5","1","1","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"169","1","1","1","1","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"170","1","1","1","3","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"171","1","4","1","2","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"172","1","4","1","4","5","1","1","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"173","1","1","1","1","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"174","1","1","1","3","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"175","1","4","1","2","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"176","1","4","1","4","5","1","1","5","128","128","500","500","2000000","1.5625e-05","0.00016666666666666666"
"177","1","1","1","1","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"178","1","1","1","3","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"179","1","4","1","2","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"180","1","4","1","4","5","1","1","5","256","256","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"253","2","1","1","1","3","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"254","2","1","1","3","3","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"255","2","4","1","2","3","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"256","2","4","1","4","3","1","2","5","1","1","16000","16000","2048000000","0.016","0.17066666666666666"
"257","2","1","1","1","3","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"258","2","1","1","3","3","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"259","2","4","1","2","3","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"260","2","4","1","4","3","1","2","5","2","2","8000","8000","512000000","0.004","0.042666666666666665"
"261","2","1","1","1","3","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"262","2","1","1","3","3","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"263","2","4","1","2","3","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"264","2","4","1","4","3","1","2","5","4","4","4000","4000","128000000","0.001","0.010666666666666666"
"265","2","1","1","1","3","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"266","2","1","1","3","3","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"267","2","4","1","2","3","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"268","2","4","1","4","3","1","2","5","8","8","2000","2000","32000000","0.00025","0.0026666666666666666"
"269","2","1","1","1","3","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"270","2","1","1","3","3","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"271","2","4","1","2","3","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"272","2","4","1","4","3","1","2","5","16","16","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"273","2","1","1","1","3","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"274","2","1","1","3","3","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"275","2","4","1","2","3","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"276","2","4","1","4","3","1","2","5","32","32","500","500","2000000","1.5625e-05","0.00016666666666666666"
"277","2","1","1","1","3","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"278","2","1","1","3","3","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"279","2","4","1","2","3","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"280","2","4","1","4","3","1","2","5","64","64","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"281","2","1","1","1","3","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"282","2","1","1","3","3","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"283","2","4","1","2","3","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"284","2","4","1","4","3","1","2","5","128","128","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"285","2","1","1","1","3","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"286","2","1","1","3","3","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"287","2","4","1","2","3","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"288","2","4","1","4","3","1","2","5","256","256","62","62","30752","2.4025e-07","2.5626666666666666e-06"
"289","2","1","1","1","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"290","2","1","1","3","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"291","2","4","1","2","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"292","2","4","1","4","4","1","2","5","1","1","32000","32000","8192000000","0.064","0.6826666666666666"
"293","2","1","1","1","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"294","2","1","1","3","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"295","2","4","1","2","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"296","2","4","1","4","4","1","2","5","2","2","16000","16000","2048000000","0.016","0.17066666666666666"
"297","2","1","1","1","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"298","2","1","1","3","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"299","2","4","1","2","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"300","2","4","1","4","4","1","2","5","4","4","8000","8000","512000000","0.004","0.042666666666666665"
"301","2","1","1","1","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"302","2","1","1","3","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"303","2","4","1","2","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"304","2","4","1","4","4","1","2","5","8","8","4000","4000","128000000","0.001","0.010666666666666666"
"305","2","1","1","1","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"306","2","1","1","3","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"307","2","4","1","2","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"308","2","4","1","4","4","1","2","5","16","16","2000","2000","32000000","0.00025","0.0026666666666666666"
"309","2","1","1","1","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"310","2","1","1","3","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"311","2","4","1","2","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"312","2","4","1","4","4","1","2","5","32","32","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"313","2","1","1","1","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"314","2","1","1","3","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"315","2","4","1","2","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"316","2","4","1","4","4","1","2","5","64","64","500","500","2000000","1.5625e-05","0.00016666666666666666"
"317","2","1","1","1","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"318","2","1","1","3","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"319","2","4","1","2","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"320","2","4","1","4","4","1","2","5","128","128","250","250","500000","3.90625e-06","4.1666666666666665e-05"
"321","2","1","1","1","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"322","2","1","1","3","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"323","2","4","1","2","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"324","2","4","1","4","4","1","2","5","256","256","125","125","125000","9.765625e-07","1.0416666666666666e-05"
"325","2","1","1","1","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"326","2","1","1","3","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"327","2","4","1","2","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"328","2","4","1","4","5","1","2","5","1","1","64000","64000","32768000000","0.256","2.7306666666666666"
"329","2","1","1","1","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"330","2","1","1","3","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"331","2","4","1","2","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"332","2","4","1","4","5","1","2","5","2","2","32000","32000","8192000000","0.064","0.6826666666666666"
"333","2","1","1","1","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"334","2","1","1","3","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"335","2","4","1","2","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"336","2","4","1","4","5","1","2","5","4","4","16000","16000","2048000000","0.016","0.17066666666666666"
"337","2","1","1","1","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"338","2","1","1","3","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"339","2","4","1","2","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"340","2","4","1","4","5","1","2","5","8","8","8000","8000","512000000","0.004","0.042666666666666665"
"341","2","1","1","1","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"342","2","1","1","3","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"343","2","4","1","2","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"344","2","4","1","4","5","1","2","5","16","16","4000","4000","128000000","0.001","0.010666666666666666"
"345","2","1","1","1","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"346","2","1","1","3","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"347","2","4","1","2","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"348","2","4","1","4","5","1","2","5","32","32","2000","2000","32000000","0.00025","0.0026666666666666666"
"349","2","1","1","1","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"350","2","1","1","3","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"351","2","4","1","2","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
"352","2","4","1","4","5","1","2","5","64","64","1000","1000","8000000","6.25e-05","0.0006666666666666666"
